layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1.00000131,-0.04862391,-0.05099187,-0.13456120,-0.04254191,-0.03392403,-0.00360030,-0.02514055,-0.00261169,-0.01939080,-0.00564932,-0.01359804,-0.03293755,-0.04988887,-0.01876617,-0.01844331,-0.00560017,0.01979155,0.01377823,-0.00590679,-0.01324154,-0.02234657,-0.00037913,-0.03520466,-0.00192097,0.00263725,0.00856544,-0.01814271,-0.00160955,0.01860980,0.02447651,0.01333410,0.02929813,0.02422916,-0.01033074,-0.04372426
1,-0.04862391,1.00000060,0.03866418,0.04316163,-0.03210642,-0.06410543,-0.02559939,0.02649758,0.02571439,0.01098049,-0.01939425,-0.02742724,-0.01190766,-0.00039845,-0.00646415,0.04406520,0.02090843,-0.02965788,-0.01359157,0.00883505,0.04080461,-0.02291694,-0.03512657,-0.00240016,-0.01697670,0.00172736,-0.01810830,-0.01282590,-0.03888381,-0.04010590,-0.02733936,-0.03958935,-0.02068878,0.00963076,0.02181655,0.06258163
2,-0.05099187,0.03866418,1.00000107,0.03270691,-0.09313579,-0.04029710,-0.03753101,-0.00522749,0.00745170,-0.04302284,-0.00976136,-0.00406903,-0.02119169,0.02777868,-0.02341931,0.05530652,0.00266624,-0.02640811,-0.02724483,0.01058952,-0.00151836,-0.01210271,-0.04542604,-0.01863725,-0.02258955,-0.00423220,-0.01147973,0.00212945,-0.03022503,0.00558582,-0.04806238,-0.03482275,-0.01980860,-0.01707554,0.02726393,0.05787907
3,-0.13456120,0.04316163,0.03270691,1.00000072,-0.08430900,-0.03051339,-0.03633435,0.01085045,-0.03428979,-0.01238221,-0.06326800,-0.03043392,-0.01240104,0.01342304,-0.00078867,0.01594869,-0.00955818,-0.03580113,-0.00671885,0.01233171,-0.01808699,-0.01351532,-0.02104312,-0.01295103,-0.04122128,-0.01909132,0.01457426,-0.01727385,-0.03017606,0.01421150,-0.01548945,-0.02407162,-0.00770931,0.00983997,0.02801258,0.04178688
4,-0.04254191,-0.03210642,-0.09313579,-0.08430900,1.00000095,-0.05438785,-0.03924296,-0.06160619,-0.06289376,-0.03161960,0.02339420,-0.01585640,-0.04324090,-0.01706718,0.00242459,-0.03558378,-0.01405935,0.04556886,0.00725118,-0.00495519,-0.01667811,0.01637343,0.02590262,0.00669760,0.03451514,0.01268986,0.05355407,0.03051128,0.01696930,0.02604036,0.03899164,0.01600671,0.03438468,0.00472522,-0.01795907,-0.05075842
5,-0.03392403,-0.06410543,-0.04029710,-0.03051339,-0.05438785,1.00000072,-0.07262632,-0.09802876,-0.07776016,-0.07572264,-0.00953860,-0.00899169,-0.00099830,0.01731546,-0.03787147,-0.04952453,0.00059027,0.00047383,-0.00540815,-0.01608075,0.00664415,0.02056378,0.02445271,-0.00283343,0.01407659,0.01025362,-0.02303808,0.00351558,0.00379102,0.01643276,0.03391064,0.01381959,0.00073465,-0.02144102,0.01192301,-0.02419126
6,-0.00360030,-0.02559939,-0.03753101,-0.03633435,-0.03924296,-0.07262632,1.00000095,-0.05842255,-0.03063424,-0.08123253,0.01524312,-0.03457287,-0.00224322,-0.02852257,-0.04652027,-0.05145277,-0.03529791,0.01465726,-0.01391369,-0.03464581,0.00793931,0.04010967,0.01098805,-0.03253842,0.01280794,0.02042324,0.02272287,0.00493050,0.02958840,0.01746264,0.01254610,0.05218652,0.03966598,-0.01999438,0.02535880,-0.08925518
7,-0.02514055,0.02649758,-0.00522749,0.01085045,-0.06160619,-0.09802876,-0.05842255,1.00000072,-0.07432558,-0.06683548,-0.06041489,-0.00262730,-0.01280215,-0.01020847,-0.01504284,0.04592170,-0.00275913,0.00516480,-0.00145807,0.00754845,0.01374171,-0.03939008,-0.02604675,0.00850030,0.00073100,0.01688932,0.00813390,0.00674178,-0.00427763,-0.03426369,-0.02711512,-0.01473609,-0.01751531,-0.00592592,-0.00142304,0.02852524
8,-0.00261169,0.02571439,0.00745170,-0.03428979,-0.06289376,-0.07776016,-0.03063424,-0.07432558,1.00000095,-0.17719901,-0.04495942,-0.00422425,-0.01843634,0.00608572,-0.01965417,0.01173731,0.00005565,-0.00792638,-0.00301436,0.01017975,0.00617897,0.02592777,-0.02925895,0.00955640,0.00705550,-0.03788965,0.00017067,0.02195496,0.00600847,0.01231011,0.00426657,-0.00375369,-0.00952929,-0.01477756,0.00458311,0.00364825
9,-0.01939080,0.01098049,-0.04302284,-0.01238221,-0.03161960,-0.07572264,-0.08123253,-0.06683548,-0.17719901,1.00000107,-0.18054642,-0.08852015,-0.01698961,0.01695215,-0.00773863,0.01175496,0.01131912,-0.00960779,0.01325023,0.02492956,0.01987084,0.01437746,0.02593170,0.02573073,0.00249751,0.03202817,0.00286881,-0.00521273,-0.00191478,-0.02856393,-0.00850193,-0.00107802,-0.00872775,0.02560128,0.00112246,0.03413597
10,-0.00564932,-0.01939425,-0.00976136,-0.06326800,0.02339420,-0.00953860,0.01524312,-0.06041489,-0.04495942,-0.18054642,1.00000060,-0.14929783,-0.07687960,-0.05511276,-0.06047839,-0.08050721,0.00143885,0.01776363,-0.01552162,-0.00378325,-0.01958751,-0.00621212,0.02869369,-0.02054669,-0.01264448,0.01723716,0.03332806,0.01090302,0.02313086,0.02377924,0.03253555,0.04882497,0.04437753,-0.01255670,0.00075963,-0.09397702
11,-0.01359804,-0.02742724,-0.00406903,-0.03043392,-0.01585640,-0.00899169,-0.03457287,-0.00262730,-0.00422425,-0.08852015,-0.14929783,1.00000083,-0.10758431,-0.01816971,-0.03608024,-0.05974928,-0.00001972,-0.00753637,0.00560644,0.02169497,-0.00062576,-0.01231259,-0.02574797,0.01151113,0.01162214,0.01032065,0.01242350,0.00703826,0.00490599,-0.01060070,0.01883354,0.02345598,-0.01367445,-0.01663996,0.00821001,-0.00373720
12,-0.03293755,-0.01190766,-0.02119169,-0.01240104,-0.04324090,-0.00099830,-0.00224322,-0.01280215,-0.01843634,-0.01698961,-0.07687960,-0.10758431,1.00000072,-0.11395285,-0.10565028,-0.02983422,-0.00139934,0.02474985,-0.00315114,0.03569372,0.04673532,0.00052642,-0.00944130,0.02184280,0.06664034,0.02124214,0.00713577,-0.00480343,0.01795452,-0.02618203,-0.00222760,-0.02644073,-0.00718219,0.01240108,0.00525205,0.00833070
13,-0.04988887,-0.00039845,0.02777868,0.01342304,-0.01706718,0.01731546,-0.02852257,-0.01020847,0.00608572,0.01695215,-0.05511276,-0.01816971,-0.11395285,1.00000060,-0.18540059,-0.05563331,-0.02814082,-0.00727658,0.00986865,0.02440845,0.01335150,0.00560137,0.01803285,0.04663404,0.01882344,0.01737885,-0.00843762,0.00564733,0.03586692,0.01796056,-0.01766240,-0.01527623,-0.04792404,-0.01935680,-0.00967869,0.04570610
14,-0.01876617,-0.00646415,-0.02341931,-0.00078867,0.00242459,-0.03787147,-0.04652027,-0.01504284,-0.01965417,-0.00773863,-0.06047839,-0.03608024,-0.10565028,-0.18540059,1.00000107,-0.12157395,-0.01363824,-0.00913293,-0.00013576,0.01798753,0.01243099,0.01175906,-0.00524308,0.03433646,0.00102321,0.01527403,0.01261754,0.01667407,-0.02241847,-0.00658562,-0.04384746,-0.03312160,-0.00165783,0.02657652,0.00886425,0.03872614
15,-0.01844331,0.04406520,0.05530652,0.01594869,-0.03558378,-0.04952453,-0.05145277,0.04592170,0.01173731,0.01175496,-0.08050721,-0.05974928,-0.02983422,-0.05563331,-0.12157395,1.00000072,-0.12246199,-0.01175924,0.03803380,0.02964467,0.06779516,-0.01022058,-0.01234971,0.05909181,0.00005947,-0.03406250,-0.01990001,0.02238288,-0.03106206,-0.05177859,-0.06202673,-0.08234021,-0.05567409,-0.01780722,-0.03063665,0.15619870
16,-0.00560017,0.02090843,0.00266624,-0.00955818,-0.01405935,0.00059027,-0.03529791,-0.00275913,0.00005565,0.01131912,0.00143885,-0.00001972,-0.00139934,-0.02814082,-0.01363824,-0.12246199,1.00000095,-0.09496199,-0.04511189,0.00761136,0.01273013,-0.00670078,-0.01994045,0.03125220,0.00429497,0.03931079,0.01172760,0.01319436,0.00885509,-0.01237178,-0.02786211,-0.02902586,-0.03738667,0.02313179,0.01413856,0.03427245
17,0.01979155,-0.02965788,-0.02640811,-0.03580113,0.04556886,0.00047383,0.01465726,0.00516480,-0.00792638,-0.00960779,0.01776363,-0.00753637,0.02474985,-0.00727658,-0.00913293,-0.01175924,-0.09496199,1.00000083,-0.10737848,-0.01913676,0.01422175,0.00946782,0.04620139,-0.00313047,0.05136597,0.03958974,-0.00273058,0.00363061,0.03608632,-0.01507795,0.02150610,0.02194438,0.05629552,0.01256678,-0.02867377,-0.04902144
18,0.01377823,-0.01359157,-0.02724483,-0.00671885,0.00725118,-0.00540815,-0.01391369,-0.00145807,-0.00301436,0.01325023,-0.01552162,0.00560644,-0.00315114,0.00986865,-0.00013576,0.03803380,-0.04511189,-0.10737848,1.00000107,-0.06635137,0.00837109,-0.01726841,0.01651374,0.04116757,0.04398581,0.01889018,0.01585106,0.06504088,0.02031638,0.00186518,-0.01052829,0.00124702,-0.01326817,-0.02226647,-0.02623401,0.04947104
