layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1.00000095,0.02863516,0.00718906,-0.01321309,-0.04403680,-0.02924079,-0.00038955,-0.02965391,0.01302402,-0.01362582,-0.02362463,-0.02485279,0.00181906,0.00639881,0.00933648,-0.00491745,0.02108845,0.00039283,-0.01233646,-0.01133972,-0.01112447,-0.01809740,-0.00232570,-0.03087458,-0.01010226,-0.00966396,0.00042097,0.00995450,-0.01531745,-0.00043639,-0.00587488,-0.01670621,-0.01570551,0.02109847,-0.00103169,0.02802820
1,0.02863516,1.00000083,-0.03492986,-0.03685061,-0.08756088,0.05046735,0.03163161,-0.04796385,0.00084728,0.00262807,0.03235192,-0.03342173,0.01438866,-0.02022890,0.02568654,-0.02229652,-0.00365543,-0.01427360,-0.01268626,-0.00876166,0.02279489,-0.01635646,0.01750619,-0.00766530,0.02831862,0.01482608,-0.01396918,0.02531087,0.00231337,-0.00500305,0.02831393,-0.01953914,0.01317481,-0.00410987,0.01135426,0.01527718
2,0.00718906,-0.03492986,1.00000095,-0.03254177,-0.06012809,-0.00351415,-0.02142557,0.00098814,-0.01507815,-0.01409708,-0.00929929,0.02782898,0.01253323,0.00412522,-0.01831362,-0.01602685,-0.00283401,-0.00497786,-0.00166276,0.01363304,0.00584406,-0.00595854,0.00043798,-0.01656696,0.03179387,-0.01820550,-0.03647229,-0.02463315,-0.02415416,-0.01793027,-0.02659907,0.01826869,-0.00275563,-0.01659784,-0.02222200,0.02733564
3,-0.01321309,-0.03685061,-0.03254177,1.00000060,0.07222016,-0.09369859,-0.07216015,-0.01589100,-0.02500523,0.01046812,0.01981535,0.02659916,-0.00681717,0.02941129,-0.00333995,0.02911679,-0.00234597,-0.00135238,0.01637875,0.02311528,0.00699509,0.03317188,0.01320655,0.00922807,-0.03348133,0.03911836,0.01896810,0.03571422,0.02128500,0.00267979,-0.00070198,-0.01043953,-0.00373392,0.05986685,0.03335455,-0.09802979
4,-0.04403680,-0.08756088,-0.06012809,0.07222016,1.00000060,-0.26576185,-0.11823171,-0.00639265,-0.03959714,0.03460550,0.01579060,0.02335705,-0.01384624,0.01233563,0.01012307,0.10268227,-0.00972471,0.05264828,0.09048545,0.03003838,0.02312894,0.01366948,0.01448284,0.03572973,-0.06636272,0.06231990,0.03843158,0.04128820,0.01263369,-0.04497772,0.00524835,-0.04301758,0.01463213,0.10087711,0.06459748,-0.23624212
5,-0.02924079,0.05046735,-0.00351415,-0.09369859,-0.26576185,1.00000107,-0.09913382,-0.02290403,-0.00939594,-0.04222397,-0.03983843,-0.00557327,0.01898295,-0.04266863,-0.02756881,-0.08116059,0.01816948,-0.04157171,-0.03923187,-0.02002783,-0.01481957,-0.00132443,-0.02003299,-0.04473143,0.02565625,-0.03994510,-0.02009672,-0.04090022,-0.01008433,0.03862724,-0.00424683,0.02615556,-0.01196102,-0.07992749,-0.06207890,0.17565098
6,-0.00038955,0.03163161,-0.02142557,-0.07216015,-0.11823171,-0.09913382,1.00000095,-0.01237029,-0.02873141,-0.03392492,-0.04039429,-0.01984109,-0.00181646,0.02628490,-0.01257281,-0.02390164,-0.00611218,0.01698293,-0.01981744,-0.03846698,0.02372343,0.00942064,-0.00209982,-0.01159488,0.02518287,-0.01130268,-0.01146112,-0.00809246,-0.02870909,0.01180651,-0.00248963,0.00597934,0.00381701,-0.01481336,-0.00421326,0.04911149
7,-0.02965391,-0.04796385,0.00098814,-0.01589100,-0.00639265,-0.02290403,-0.01237029,1.00000107,-0.05556229,-0.09748806,-0.04222742,0.04489980,-0.04549100,0.00837833,0.02165569,-0.04232397,0.00673344,-0.00223066,-0.02433784,0.00122470,-0.00485043,0.00824059,-0.00109079,-0.00857439,-0.00079295,-0.00600401,0.00215395,0.00686919,0.00349865,-0.00968814,-0.02087013,-0.01129672,-0.00158393,0.04562221,-0.01750915,-0.00051303
8,0.01302402,0.00084728,-0.01507815,-0.02500523,-0.03959714,-0.00939594,-0.02873141,-0.05556229,1.00000119,-0.26880112,-0.10714135,-0.07645202,-0.02154060,-0.04001740,0.00209833,0.00084512,-0.02139627,0.00768552,-0.03730781,0.02757628,-0.00170373,-0.02936430,-0.00514381,0.00690437,0.02542845,-0.00769169,0.00900486,0.02222931,0.01023448,-0.01258957,-0.01422427,0.03395584,-0.00550005,-0.01303599,-0.00506435,0.05942459
9,-0.01362582,0.00262807,-0.01409708,0.01046812,0.03460550,-0.04222397,-0.03392492,-0.09748806,-0.26880112,1.00000107,-0.26555818,-0.06395897,-0.02930201,-0.01296956,-0.04688206,0.00306025,-0.01889237,-0.00943854,-0.00656490,-0.02917521,-0.03551050,0.00102169,-0.00935573,-0.00941544,-0.01481416,0.00461488,-0.01469928,-0.01139623,-0.02034315,0.01182360,0.01240314,0.00577578,-0.00288269,0.00104992,-0.00964982,-0.01063344
10,-0.02362463,0.03235192,-0.00929929,0.01981535,0.01579060,-0.03983843,-0.04039429,-0.04222742,-0.10714135,-0.26555818,1.00000083,-0.17783608,-0.11186878,-0.06227125,0.01673116,0.01061544,0.00982483,0.01051174,-0.00737235,-0.00015091,0.01266761,0.01517381,0.02753362,0.01930668,-0.00144569,-0.00077487,0.00791441,0.01009141,0.00619170,-0.00659013,0.01546470,-0.02793643,-0.02060647,0.00093115,-0.02255300,-0.00123888
11,-0.02485279,-0.03342173,0.02782898,0.02659916,0.02335705,-0.00557327,-0.01984109,0.04489980,-0.07645202,-0.06395897,-0.17783608,1.00000060,-0.15682267,-0.07963479,-0.04310716,0.00250026,0.02885766,0.02640757,0.00486665,-0.00497586,0.02462701,0.01074731,0.02147505,0.00845826,-0.03354811,-0.00463061,-0.00339924,-0.00403388,0.00299138,0.01651333,-0.01970416,-0.01855677,0.03400704,-0.00793248,0.00383088,-0.03067500
12,0.00181906,0.01438866,0.01253323,-0.00681717,-0.01384624,0.01898295,-0.00181646,-0.04549100,-0.02154060,-0.02930201,-0.11186878,-0.15682267,1.00000083,-0.17765321,-0.04960930,0.00086787,0.02885575,-0.02729705,-0.03321509,0.04195615,-0.00298992,0.02530477,-0.02893025,0.00892860,0.03463386,-0.00558815,0.01671106,-0.00806851,0.01163518,0.00192985,0.00335128,0.00512166,0.00033608,-0.02741224,-0.00589149,0.04792872
13,0.00639881,-0.02022890,0.00412522,0.02941129,0.01233563,-0.04266863,0.02628490,0.00837833,-0.04001740,-0.01296956,-0.06227125,-0.07963479,-0.17765321,1.00000119,-0.17397808,-0.06401198,0.00896928,0.02434595,0.01905035,-0.03878212,-0.01300411,-0.00896077,-0.00384066,-0.04043617,-0.02187913,0.03668634,0.01493736,0.02272818,-0.02210842,0.00162573,0.00980055,0.01654825,0.01951329,0.01569769,0.02632454,-0.03212394
14,0.00933648,0.02568654,-0.01831362,-0.00333995,0.01012307,-0.02756881,-0.01257281,0.02165569,0.00209833,-0.04688206,0.01673116,-0.04310716,-0.04960930,-0.17397808,1.00000048,-0.13295221,-0.01156760,-0.00093213,0.02386797,0.03742601,0.05273139,-0.00580505,0.00996833,0.01835053,-0.00134993,-0.00684490,0.00494070,0.00547965,0.01607623,-0.00170060,-0.01416459,-0.01211120,0.00564225,0.02509965,0.02023261,-0.03650533
15,-0.00491745,-0.02229652,-0.01602685,0.02911679,0.10268227,-0.08116059,-0.02390164,-0.04232397,0.00084512,0.00306025,0.01061544,0.00250026,0.00086787,-0.06401198,-0.13295221,1.00000083,-0.10106806,0.02284996,-0.01055084,0.04207252,0.00078902,-0.03426851,0.01715380,0.01407133,-0.07193370,0.01891346,0.05469376,0.00808960,0.00846389,-0.01664205,-0.00735906,-0.00739108,0.00183182,0.01296711,0.10401317,-0.15073635
16,0.02108845,-0.00365543,-0.00283401,-0.00234597,-0.00972471,0.01816948,-0.00611218,0.00673344,-0.02139627,-0.01889237,0.00982483,0.02885766,0.02885575,0.00896928,-0.01156760,-0.10106806,1.00000060,-0.08830006,-0.00365295,0.03813682,0.01388075,0.02932522,0.02236265,0.04453686,0.01205792,0.03090881,0.03816283,-0.02529853,0.01422103,0.00193877,0.00505406,0.00132699,0.01763013,0.02328320,0.00229788,-0.01966183
17,0.00039283,-0.01427360,-0.00497786,-0.00135238,0.05264828,-0.04157171,0.01698293,-0.00223066,0.00768552,-0.00943854,0.01051174,0.02640757,-0.02729705,0.02434595,-0.00093213,0.02284996,-0.08830006,1.00000072,-0.02206839,0.00041212,0.00797315,0.02535445,0.02259549,0.06372218,0.01445511,0.05621161,-0.00366564,0.02990256,0.02144141,0.00438754,0.02145571,0.02202064,-0.00524649,0.02238280,0.05170576,-0.06403796
18,-0.01233646,-0.01268626,-0.00166276,0.01637875,0.09048545,-0.03923187,-0.01981744,-0.02433784,-0.03730781,-0.00656490,-0.00737235,0.00486665,-0.03321509,0.01905035,0.02386797,-0.01055084,-0.00365295,-0.02206839,1.00000036,-0.03551183,-0.01038898,-0.01225011,0.03935833,0.09246344,0.01155632,0.01905820,0.04464739,0.01161342,0.02315764,0.01576892,0.04207352,0.02080657,0.03412884,-0.00170518,0.02906134,-0.07543796
19,-0.01133972,-0.00876166,0.01363304,0.02311528,0.03003838,-0.02002783,-0.03846698,0.00122470,0.02757628,-0.02917521,-0.00015091,-0.00497586,0.04195615,-0.03878212,0.03742601,0.04207252,0.03813682,0.00041212,-0.03551183,1.00000095,-0.08037006,0.02410998,0.00975199,0.08316949,0.02582853,0.02389822,0.02601224,0.01554996,0.04732668,0.03749162,0.00462295,0.00402744,-0.00009128,0.00377428,0.02514250,-0.04715137
20,-0.01112447,0.02279489,0.00584406,0.00699509,0.02312894,-0.01481957,0.02372343,-0.00485043,-0.00170373,-0.03551050,0.01266761,0.02462701,-0.00298992,-0.01300411,0.05273139,0.00078902,0.01388075,0.00797315,-0.01038898,-0.08037006,1.00000107,-0.04809127,-0.02085302,0.06428653,0.01121260,0.04348749,0.03942044,-0.01544867,0.02657172,-0.00136314,0.02525948,0.00797218,0.02339692,0.01086672,0.04036117,-0.05515437
21,-0.01809740,-0.01635646,-0.00595854,0.03317188,0.01366948,-0.00132443,0.00942064,0.00824059,-0.02936430,0.00102169,0.01517381,0.01074731,0.02530477,-0.00896077,-0.00580505,-0.03426851,0.02932522,0.02535445,-0.01225011,0.02410998,-0.04809127,1.00000072,-0.03718060,-0.01510419,0.01389242,0.03155706,0.00058935,0.02522597,0.02386092,0.02444269,0.01406658,-0.01958395,-0.02183491,-0.00211013,-0.02265250,-0.00797188
22,-0.00232570,0.01750619,0.00043798,0.01320655,0.01448284,-0.02003299,-0.00209982,-0.00109079,-0.00514381,-0.00935573,0.02753362,0.02147505,-0.02893025,-0.00384066,0.00996833,0.01715380,0.02236265,0.02259549,0.03935833,0.00975199,-0.02085302,-0.03718060,1.00000083,0.07576180,0.04365589,0.01714997,0.05494398,0.04440656,0.05719671,0.05926603,0.01086867,-0.00839287,-0.02370858,-0.00018971,-0.02856302,-0.02563022
