layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1.00000107,-0.01935450,0.00191835,-0.00880186,-0.00028152,-0.05267201,-0.01631156,-0.04627906,-0.00462264,-0.00961852,-0.01645977,-0.01047731,-0.00033369,-0.00852150,-0.00104791,0.00776708,0.00944762,0.00363824,0.01730203,-0.02425058,-0.01300361,-0.01450502,-0.01596099,0.00659167,0.00275839,0.00959897,0.00847453,-0.01572971,-0.01541294,-0.02909792,-0.01607919,0.02896185,-0.02723651,-0.01063828,0.00323103,-0.02271342
1,-0.01935450,1.00000048,-0.04555228,-0.07396656,-0.06867937,-0.01979913,-0.02783189,0.00945922,-0.00624901,-0.02420050,0.02121554,-0.02839651,0.03093895,-0.00045365,0.00509374,-0.01864556,0.01057855,-0.04533811,-0.01655520,-0.00904733,-0.00856800,0.01812570,-0.00631956,-0.03429197,-0.00318800,-0.02106964,0.01023801,0.00797690,-0.03840910,0.01528387,0.01872617,-0.00871514,0.03055733,-0.02011610,0.01329112,0.05532162
2,0.00191835,-0.04555228,1.00000095,-0.14198066,-0.06354073,-0.04203041,-0.00009412,-0.02821980,0.00297750,0.00710370,-0.03406017,-0.00865781,0.01303494,0.00604113,-0.03296964,0.00508258,-0.00940338,-0.01810888,0.01922831,-0.00245826,0.03033593,-0.01833223,0.02376723,-0.02139547,0.03427569,-0.03575280,-0.00336934,-0.01844313,-0.00766327,-0.01290957,-0.00736878,0.00576269,0.00803114,-0.00115063,-0.02901562,0.03198678
3,-0.00880186,-0.07396656,-0.14198066,1.00000072,-0.12366536,-0.00430839,-0.07269093,-0.06643769,-0.02817082,-0.03085477,0.04262969,0.02504188,-0.01614553,0.00697250,-0.01426625,-0.01285593,0.01232014,0.00176129,0.02017411,-0.00301266,0.01856537,0.00815034,-0.01308056,0.00525253,-0.01116822,0.02861131,0.00803098,0.05117811,-0.01426723,0.00611685,-0.00065461,0.00217514,-0.03540644,0.00180025,0.03423729,-0.00344706
4,-0.00028152,-0.06867937,-0.06354073,-0.12366536,1.00000083,-0.09989975,-0.05515346,-0.05093752,-0.03864764,-0.00452236,0.00863673,-0.00191841,0.01067978,0.00293407,0.02579680,0.06458553,-0.02092705,0.02366222,0.05926983,0.00191078,-0.00807314,-0.01968857,0.02961693,0.01089033,-0.03626881,0.01004771,0.00641843,0.00889606,0.02505909,-0.02577251,-0.00311659,0.00449762,-0.01303579,0.02692167,0.01453180,-0.06928800
5,-0.05267201,-0.01979913,-0.04203041,-0.00430839,-0.09989975,1.00000083,-0.11155599,0.00235558,-0.03817296,-0.03206996,-0.08256287,0.00581440,0.01341768,0.00574155,-0.02289033,-0.02354796,0.00067242,-0.00664185,0.00693733,-0.00130959,-0.01819099,0.00450325,-0.02772986,-0.02730370,-0.00408547,-0.00820457,0.00472679,0.00252488,0.03663175,0.04746198,-0.01688178,-0.00144969,0.00157790,-0.00499913,-0.01767681,0.01358707
6,-0.01631156,-0.02783189,-0.00009412,-0.07269093,-0.05515346,-0.11155599,1.00000083,-0.03683814,-0.01912817,-0.02485616,-0.02804258,-0.02115592,-0.00933721,-0.02069274,0.00035658,0.00357358,-0.03418628,0.03504614,-0.00094468,-0.02161705,0.03340090,-0.00034461,-0.01631796,-0.01730837,0.00863769,-0.00895919,-0.00539590,0.00998450,-0.02083487,0.00096791,0.00449130,-0.01387660,0.00861163,-0.02872221,0.00942124,0.01754291
7,-0.04627906,0.00945922,-0.02821980,-0.06643769,-0.05093752,0.00235558,-0.03683814,1.00000072,-0.03967015,-0.11786009,-0.13672921,0.04963044,-0.05030716,0.00635100,0.01986753,-0.02077868,0.00607138,-0.00967639,-0.03070895,0.00234578,-0.00810272,0.02548256,0.01503171,0.00619700,0.00840015,-0.00632442,-0.00556833,0.00530765,0.02356815,-0.02991216,0.00345155,0.00042546,-0.00443064,0.00901562,-0.03138428,0.02825797
8,-0.00462264,-0.00624901,0.00297750,-0.02817082,-0.03864764,-0.03817296,-0.01912817,-0.03967015,1.00000107,-0.26950958,-0.12565559,-0.09276453,-0.02404546,-0.04688770,-0.01844073,0.00005411,-0.01712747,0.02053643,-0.03272575,0.00580438,0.00164398,-0.01089096,0.00454942,0.00384541,0.03108877,-0.02663247,0.00714930,0.01127351,0.01218951,-0.00396971,0.00206876,0.02081802,-0.00616518,0.02152513,-0.01054593,0.05251675
9,-0.00961852,-0.02420050,0.00710370,-0.03085477,-0.00452236,-0.03206996,-0.02485616,-0.11786009,-0.26950958,1.00000119,-0.25076163,-0.09211428,-0.01350122,-0.03156059,0.01007671,0.00691766,-0.00384861,-0.01494910,-0.00631689,-0.00306979,-0.02622996,-0.00160080,0.00184863,0.00409800,-0.00736232,0.00788003,-0.00416315,-0.01927303,0.00690668,0.00482110,0.00649050,0.00969458,0.00263027,-0.00135565,-0.01990524,-0.02366994
