layer_i,layer_j,cosine
0,0,1.00000095
0,1,0.88026476
0,2,0.67023617
0,3,0.49612138
0,4,0.27401853
0,5,0.14838408
0,6,0.12847812
0,7,0.05267346
0,8,0.04457838
0,9,0.01709715
0,10,0.00078730
0,11,-0.01294670
0,12,-0.00823527
0,13,-0.00970876
0,14,0.00665141
0,15,-0.01589369
0,16,0.00054561
0,17,-0.00768423
0,18,-0.02016658
0,19,-0.01989429
0,20,-0.02803204
0,21,-0.04391254
0,22,-0.03666681
0,23,-0.04244705
0,24,-0.02855798
0,25,-0.03369381
0,26,-0.03339577
0,27,-0.03460050
0,28,-0.03314599
0,29,-0.03284606
0,30,-0.03107978
0,31,-0.02567582
0,32,-0.02823455
0,33,-0.02574127
0,34,-0.02574725
0,35,0.05863712
1,0,0.88026476
1,1,1.00000083
1,2,0.72751617
1,3,0.55543226
1,4,0.27437127
1,5,0.17607133
1,6,0.16608129
1,7,0.05710055
1,8,0.04531776
1,9,0.02319307
1,10,0.03083078
1,11,-0.00326442
1,12,0.00360150
1,13,-0.01401513
1,14,0.01477429
1,15,-0.03136876
1,16,-0.01796438
1,17,-0.03262990
1,18,-0.04730310
1,19,-0.04382744
1,20,-0.04707934
1,21,-0.05970308
1,22,-0.04933277
1,23,-0.05937979
1,24,-0.02481272
1,25,-0.02833603
1,26,-0.03576216
1,27,-0.03382188
1,28,-0.03588670
1,29,-0.02841790
1,30,-0.02146794
1,31,-0.01811473
1,32,-0.01924400
1,33,-0.02856114
1,34,-0.02971704
1,35,0.11668752
2,0,0.67023617
2,1,0.72751617
2,2,1.00000048
2,3,0.66590708
2,4,0.35628831
2,5,0.20884033
2,6,0.17314866
2,7,0.07307135
2,8,0.04595989
2,9,0.02852294
2,10,0.01207761
2,11,0.00111246
2,12,0.01410672
2,13,0.01078502
2,14,0.01077076
2,15,-0.01116729
2,16,-0.01074307
2,17,-0.01603046
2,18,-0.02089604
2,19,-0.01547598
2,20,-0.01715081
2,21,-0.03933860
2,22,-0.02579187
2,23,-0.03995703
2,24,-0.01496350
2,25,-0.02025042
2,26,-0.02976511
2,27,-0.03389045
