layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1.00000072,0.88536090,0.75516182,0.56750178,0.33088291,0.22964208,0.20472045,0.15439336,0.08962367,0.04399378,0.01350236,0.00270020,-0.00425857,0.00722142,0.01354187,0.00548842,0.01596208,-0.00006884,-0.01732924,-0.01297715,-0.01169199,-0.01283269,0.01242576,0.01787946,0.00185682,0.01938454,0.00698814,0.00325362,-0.00285401,-0.00004570,0.00843025,0.00559674,0.01380469,0.01016503,0.01275025,0.02085060
1,0.88536090,1.00000119,0.85166878,0.63081080,0.35928941,0.25329742,0.22416885,0.16496001,0.09605110,0.04241962,0.01343079,0.00872323,-0.00223171,0.00890219,0.02015122,0.01581310,0.00991991,0.00450819,-0.01038561,-0.00475509,-0.00869225,-0.00936832,0.00935785,0.01564810,-0.00122103,0.01641355,0.00526777,0.00178357,-0.00257739,-0.00358084,0.00117028,-0.00043383,0.00919517,0.00347595,0.00473715,0.01862337
2,0.75516182,0.85166878,1.00000107,0.75022626,0.43227148,0.28921664,0.24590205,0.17839527,0.09117123,0.05227786,0.02935240,0.03334617,0.01272296,0.02500152,0.02940313,0.01858213,0.01424137,0.00853889,-0.00497404,-0.00513431,-0.01148756,-0.01204788,0.00952649,0.01180349,-0.00818337,0.00958877,-0.00148734,-0.00297870,-0.00768718,-0.00275092,-0.00343220,-0.00486333,0.00434109,-0.00011090,0.00432716,0.01581596
3,0.56750178,0.63081080,0.75022626,1.00000095,0.66621310,0.40825772,0.31445491,0.23681895,0.15001424,0.13126531,0.10835444,0.09845451,0.02500145,0.02249750,-0.00463092,-0.00835438,-0.01067710,-0.00477624,-0.00611930,-0.00648367,-0.01159535,-0.01264518,-0.00056901,-0.01973545,-0.03017473,-0.02901096,-0.02879503,-0.02183763,-0.01836526,-0.00340987,0.00029938,0.00489958,0.00696726,0.01736420,0.02979687,0.02911406
4,0.33088291,0.35928941,0.43227148,0.66621310,1.00000083,0.56733525,0.40405566,0.30578622,0.20065284,0.22292510,0.19007654,0.16604276,0.02776156,0.01557252,-0.02315287,-0.03594884,-0.00609370,0.00450473,0.01242402,0.01393065,0.01180978,0.00708309,-0.00551615,-0.02395050,-0.03196643,-0.04562284,-0.02282882,-0.01487447,-0.02607934,-0.00923859,-0.00139588,-0.00230437,0.00154278,0.02912904,0.04987118,0.03023020
5,0.22964208,0.25329742,0.28921664,0.40825772,0.56733525,1.00000083,0.79848504,0.58564901,0.32825637,0.25379682,0.18617409,0.16618639,0.10098375,0.08113369,0.03338392,0.00580793,0.00556030,-0.00905776,-0.01467384,-0.00508725,-0.01987845,-0.01650814,-0.00851580,-0.01467193,-0.02032353,-0.02247701,-0.01795290,-0.02526338,-0.03163140,-0.02001113,-0.01227037,-0.01781879,-0.01393074,-0.01421033,-0.00643608,-0.00401326
6,0.20472045,0.22416885,0.24590205,0.31445491,0.40405566,0.79848504,1.00000083,0.73844975,0.39783567,0.25640562,0.19054644,0.17612086,0.14074805,0.10404830,0.06128684,0.02299086,0.01249930,-0.00083890,-0.00027641,-0.00035349,-0.01400911,-0.01423740,-0.00748793,-0.00358218,-0.00724025,-0.00155180,-0.00944068,-0.01532925,-0.02437520,-0.01477709,-0.00543688,-0.00768137,-0.00659739,-0.01552345,-0.01027016,-0.00450934
7,0.15439336,0.16496001,0.17839527,0.23681895,0.30578622,0.58564901,0.73844975,1.00000095,0.51388854,0.31716925,0.23798610,0.18963897,0.14265640,0.09854868,0.05009798,0.01107121,-0.00148231,-0.01106498,-0.00458281,-0.00640991,-0.01579290,-0.02048210,-0.00703975,-0.00295613,0.00203852,0.00625074,0.00042712,-0.00561833,-0.02948885,-0.01164929,0.00338577,-0.00052684,0.00197884,-0.00508303,0.00922671,0.00585207
8,0.08962367,0.09605110,0.09117123,0.15001424,0.20065284,0.32825637,0.39783567,0.51388854,1.00000060,0.55698419,0.32746565,0.25898528,0.16170819,0.10136320,0.05117391,0.03794802,0.01445713,0.01124320,0.00746007,0.00933740,0.01677738,0.00164244,0.02382635,0.00861175,0.01397352,0.01396785,0.02916682,0.02225061,-0.00626331,-0.00705389,0.00162991,0.00099640,0.00350020,0.00672442,0.00774764,0.00161424
9,0.04399378,0.04241962,0.05227786,0.13126531,0.22292510,0.25379682,0.25640562,0.31716925,0.55698419,1.00000095,0.58139718,0.42567119,0.25312105,0.15659046,0.05476539,0.00917407,0.02270240,0.04006568,0.03690540,0.03634570,0.02313706,0.02057911,0.02501370,0.00858989,0.01168554,0.00161972,0.02266247,0.03069213,-0.00546015,0.00249010,0.01874934,0.01879921,0.01317744,0.01860664,0.01058169,-0.00091275
10,0.01350236,0.01343079,0.02935240,0.10835444,0.19007654,0.18617409,0.19054644,0.23798610,0.32746565,0.58139718,1.00000083,0.73094690,0.45635784,0.28669062,0.13438012,0.05432884,0.06603302,0.05156077,0.05757124,0.05057152,0.04199130,0.03122945,0.00154690,-0.01374993,0.00068932,-0.00873600,0.00136209,-0.00303320,-0.02246670,-0.01765613,0.00275286,0.00432234,0.00587724,0.01738091,0.00807050,-0.00409478
11,0.00270020,0.00872323,0.03334617,0.09845451,0.16604276,0.16618639,0.17612086,0.18963897,0.25898528,0.42567119,0.73094690,1.00000107,0.62536472,0.38334069,0.16979417,0.09036235,0.08362037,0.06648919,0.05929841,0.04925767,0.05394348,0.04754174,0.01519278,0.00996613,0.01599270,0.00603930,0.00584729,0.00327506,-0.01392479,-0.00973578,0.00844848,0.00844359,0.00706298,0.02262493,0.01590118,0.00568371
12,-0.00425857,-0.00223171,0.01272296,0.02500145,0.02776156,0.10098375,0.14074805,0.14265640,0.16170819,0.25312105,0.45635784,0.62536472,1.00000072,0.62880516,0.35174701,0.21827224,0.15117683,0.09613898,0.07558699,0.06020501,0.05132757,0.04631663,0.03718861,0.01225117,0.01070212,0.01648678,0.00491052,-0.00388110,-0.01802468,-0.02101914,-0.01580715,-0.00968982,-0.01377835,-0.01225622,-0.01997196,-0.01703194
13,0.00722142,0.00890219,0.02500152,0.02249750,0.01557252,0.08113369,0.10404830,0.09854868,0.10136320,0.15659046,0.28669062,0.38334069,0.62880516,1.00000107,0.49438578,0.31212702,0.20803425,0.15387848,0.10858478,0.06392886,0.04682045,0.03122384,0.02487488,-0.00650120,-0.00898410,0.00126280,-0.01048167,-0.01531008,-0.02587605,-0.02261344,-0.02781489,-0.02451856,-0.02650098,-0.02762594,-0.02871776,-0.02848550
14,0.01354187,0.02015122,0.02940313,-0.00463092,-0.02315287,0.03338392,0.06128684,0.05009798,0.05117391,0.05476539,0.13438012,0.16979417,0.35174701,0.49438578,1.00000083,0.61871302,0.39396250,0.30062491,0.19109957,0.10753277,0.07432615,0.06946296,0.05528341,0.03253883,0.03395373,0.03727735,0.02464879,0.01892630,0.00506919,0.00326517,-0.00466748,-0.00341829,-0.00633402,-0.01742452,-0.02302316,-0.01457282
15,0.00548842,0.01581310,0.01858213,-0.00835438,-0.03594884,0.00580793,0.02299086,0.01107121,0.03794802,0.00917407,0.05432884,0.09036235,0.21827224,0.31212702,0.61871302,1.00000072,0.60203755,0.47282600,0.31786829,0.17548861,0.13832206,0.11319196,0.09496515,0.06255865,0.05737076,0.05583721,0.04069155,0.03888357,0.03536024,0.03502376,0.03339449,0.02325475,0.01993397,0.00886837,0.00519400,-0.00869151
16,0.01596208,0.00991991,0.01424137,-0.01067710,-0.00609370,0.00556030,0.01249930,-0.00148231,0.01445713,0.02270240,0.06603302,0.08362037,0.15117683,0.20803425,0.39396250,0.60203755,1.00000072,0.75509769,0.54162192,0.35608616,0.29895011,0.24820812,0.20334361,0.13482922,0.11321885,0.09345890,0.07939292,0.07665384,0.06236087,0.04885143,0.04339095,0.03318508,0.02914692,0.02260729,0.01334559,0.00681398
