layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1.00000131,0.80704945,0.60785115,0.36826965,0.24439079,0.14939542,0.13071018,0.09919461,0.08172435,0.05820464,0.04413144,0.03135360,0.00612742,-0.02437674,-0.03427843,-0.04302074,-0.04043565,-0.02434910,-0.01453283,-0.01590309,-0.01915737,-0.02802014,-0.02416730,-0.03703957,-0.03144868,-0.02633997,-0.02082657,-0.02514308,-0.02242053,-0.01360847,-0.00481996,-0.00002628,0.01005165,0.01866495,0.01186169,-0.03357844
1,0.80704945,1.00000095,0.78056931,0.53250659,0.35837865,0.20639873,0.17298947,0.14836900,0.13360481,0.11109994,0.08042017,0.05541958,0.02654362,-0.00226198,-0.01366789,-0.00678514,-0.00114419,-0.00141587,0.00050446,0.00016341,0.00644004,-0.01001934,-0.01965141,-0.03130802,-0.03114118,-0.02577139,-0.02452099,-0.03026260,-0.03542279,-0.03507032,-0.03074734,-0.03146431,-0.02357679,-0.01082787,-0.00747734,-0.00377171
2,0.60785115,0.78056931,1.00000048,0.72549069,0.46673447,0.27482161,0.22252445,0.19052568,0.17022738,0.12499538,0.08993426,0.06564339,0.03194469,0.01837322,-0.00104957,0.02397654,0.02566386,0.01281263,0.00421494,0.00662195,0.00972235,-0.00702036,-0.03006986,-0.04213471,-0.04537394,-0.03995605,-0.03945825,-0.04169121,-0.05065887,-0.04700701,-0.05157213,-0.05646325,-0.05081094,-0.04146463,-0.02714942,0.01840159
3,0.36826965,0.53250659,0.72549069,1.00000095,0.64657247,0.40262473,0.32702395,0.28783649,0.23364724,0.18086927,0.10744686,0.07182044,0.03842366,0.03213211,0.01603019,0.04065052,0.03532946,0.00954452,0.00077200,0.00700880,0.00360469,-0.01283724,-0.03695831,-0.04799360,-0.06081835,-0.05899262,-0.05226153,-0.05574027,-0.06726454,-0.05847797,-0.06395064,-0.07044796,-0.06512199,-0.05248366,-0.03014472,0.03608476
4,0.24439079,0.35837865,0.46673447,0.64657247,1.00000083,0.63989335,0.52858925,0.43565181,0.32665339,0.25136966,0.19016919,0.14537323,0.08848998,0.06773900,0.05441027,0.05435106,0.04057384,0.03873784,0.03161247,0.03038173,0.01868671,0.01009054,0.00002398,-0.01086165,-0.01247939,-0.01092159,0.00472867,0.00613655,-0.00389767,0.00520989,0.00652956,-0.00007215,0.00720132,0.01223316,0.01685234,0.01376410
5,0.14939542,0.20639873,0.27482161,0.40262473,0.63989335,1.00000095,0.82785672,0.66012478,0.48501077,0.35871172,0.27942744,0.22938164,0.17319773,0.15257485,0.11870418,0.09108162,0.07466032,0.06730972,0.05582993,0.04428424,0.03545970,0.03439089,0.03296690,0.01820222,0.01749189,0.01882749,0.02107841,0.02140158,0.01274174,0.02243078,0.03034745,0.02661163,0.02876638,0.02314970,0.02932186,0.00321172
6,0.13071018,0.17298947,0.22252445,0.32702395,0.52858925,0.82785672,1.00000072,0.79780900,0.59670156,0.43169639,0.34880534,0.28227916,0.22231047,0.18591909,0.13638878,0.09271077,0.06487619,0.06306984,0.04820080,0.02909685,0.02508727,0.03570511,0.03689982,0.01369922,0.01669398,0.02212319,0.02812461,0.02841290,0.02595996,0.03683904,0.04449012,0.04907260,0.05580138,0.04315442,0.05229329,-0.02746695
7,0.09919461,0.14836900,0.19052568,0.28783649,0.43565181,0.66012478,0.79780900,1.00000083,0.74499840,0.54402924,0.41634783,0.34694406,0.27807981,0.23235869,0.17947587,0.15336688,0.11854215,0.11088107,0.09135424,0.07023567,0.06454040,0.05786042,0.04616079,0.02617405,0.02659073,0.03394257,0.03932053,0.03959366,0.03423868,0.03534283,0.03676709,0.03797555,0.04085018,0.02934650,0.03769395,-0.01236103
8,0.08172435,0.13360481,0.17022738,0.23364724,0.32665339,0.48501077,0.59670156,0.74499840,1.00000083,0.69970584,0.52936834,0.45203462,0.36753869,0.31488493,0.25554103,0.23106900,0.18816179,0.16719949,0.14192249,0.11939888,0.10812128,0.10448275,0.07564811,0.05552968,0.05192258,0.04481575,0.04774164,0.05134758,0.04612933,0.04835433,0.04891648,0.04717368,0.04551654,0.03067016,0.03837010,-0.00396092
9,0.05820464,0.11109994,0.12499538,0.18086927,0.25136966,0.35871172,0.43169639,0.54402924,0.69970584,1.00000048,0.68716866,0.55719721,0.45604616,0.40055245,0.33788222,0.31342506,0.26617423,0.23078553,0.20454359,0.18325910,0.16926131,0.16294681,0.13683084,0.11634862,0.10130579,0.09834277,0.09531564,0.09217019,0.08057529,0.07103934,0.06719921,0.06307293,0.05705121,0.05000729,0.05429359,0.03221163
10,0.04413144,0.08042017,0.08993426,0.10744686,0.19016919,0.27942744,0.34880534,0.41634783,0.52936834,0.68716866,1.00000095,0.78066391,0.62311035,0.52229613,0.43146324,0.36559463,0.31339467,0.27845132,0.24211423,0.21342903,0.18726481,0.17421587,0.15794608,0.12617554,0.10408095,0.10442065,0.10795923,0.10538980,0.09850103,0.09407240,0.09543609,0.09975591,0.10091648,0.08584932,0.08451267,-0.01460475
11,0.03135360,0.05541958,0.06564339,0.07182044,0.14537323,0.22938164,0.28227916,0.34694406,0.45203462,0.55719721,0.78066391,1.00000083,0.77990055,0.65500033,0.54842645,0.45621321,0.39240649,0.34404743,0.30328840,0.27324468,0.23887175,0.21564808,0.18313085,0.15103801,0.12803334,0.12713310,0.12965471,0.12577818,0.11639263,0.10744170,0.11041785,0.11658088,0.11150137,0.09167312,0.09082831,-0.00615006
12,0.00612742,0.02654362,0.03194469,0.03842366,0.08848998,0.17319773,0.22231047,0.27807981,0.36753869,0.45604616,0.62311035,0.77990055,1.00000083,0.80855912,0.65913832,0.55476433,0.47783926,0.42650461,0.37632006,0.34672046,0.31559867,0.28346792,0.23737276,0.20271999,0.19008826,0.18572702,0.18171091,0.17097823,0.15872116,0.13958871,0.13777423,0.13378668,0.12445059,0.10763213,0.10521546,0.01436729
13,-0.02437674,-0.00226198,0.01837322,0.03213211,0.06773900,0.15257485,0.18591909,0.23235869,0.31488493,0.40055245,0.52229613,0.65500033,0.80855912,1.00000095,0.78268266,0.65840828,0.55845034,0.49277565,0.43933219,0.40624115,0.36838737,0.33137101,0.28369284,0.25399029,0.23437919,0.22637677,0.21454771,0.20085341,0.19104970,0.17296281,0.16384704,0.15297504,0.13068683,0.10945535,0.10246290,0.04442879
14,-0.03427843,-0.01366789,-0.00104957,0.01603019,0.05441027,0.11870418,0.13638878,0.17947587,0.25554103,0.33788222,0.43146324,0.54842645,0.65913832,0.78268266,1.00000072,0.81902701,0.69316852,0.60592341,0.54028225,0.49801269,0.45019159,0.40719831,0.34585127,0.31531769,0.28307196,0.27220309,0.25764069,0.24348783,0.22118233,0.19886306,0.17870346,0.15878399,0.13582529,0.12151913,0.11522233,0.07707792
15,-0.04302074,-0.00678514,0.02397654,0.04065052,0.05435106,0.09108162,0.09271077,0.15336688,0.23106900,0.31342506,0.36559463,0.45621321,0.55476433,0.65840828,0.81902701,1.00000072,0.80882567,0.70293945,0.63885325,0.58969647,0.54602152,0.48885909,0.41159570,0.38464776,0.33850685,0.31165105,0.28810993,0.27481830,0.24060398,0.20537962,0.17332985,0.13837817,0.10649578,0.09147122,0.07963271,0.14111064
16,-0.04043565,-0.00114419,0.02566386,0.03532946,0.04057384,0.07466032,0.06487619,0.11854215,0.18816179,0.26617423,0.31339467,0.39240649,0.47783926,0.55845034,0.69316852,0.80882567,1.00000095,0.83829796,0.74463743,0.67904073,0.62206554,0.55335397,0.46069548,0.42838758,0.37258342,0.34924275,0.32329232,0.30716002,0.26997390,0.23100580,0.19415784,0.15395086,0.11486423,0.10522882,0.09599482,0.15699533
17,-0.02434910,-0.00141587,0.01281263,0.00954452,0.03873784,0.06730972,0.06306984,0.11088107,0.16719949,0.23078553,0.27845132,0.34404743,0.42650461,0.49277565,0.60592341,0.70293945,0.83829796,1.00000119,0.85952461,0.76985538,0.70011026,0.62443697,0.53535086,0.48341453,0.42806622,0.40435833,0.37026539,0.34841239,0.31222579,0.26783317,0.23375912,0.19560024,0.16514921,0.15290831,0.12945595,0.14037678
18,-0.01453283,0.00050446,0.00421494,0.00077200,0.03161247,0.05582993,0.04820080,0.09135424,0.14192249,0.20454359,0.24211423,0.30328840,0.37632006,0.43933219,0.54028225,0.63885325,0.74463743,0.85952461,1.00000119,0.87241435,0.78753662,0.69721907,0.60082614,0.54348046,0.48461667,0.45557398,0.41805077,0.40184045,0.36099166,0.31380516,0.27548173,0.23489976,0.19831863,0.17794895,0.14562477,0.16780075
