layer,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,1.00000107,0.82784915,0.67295480,0.54726291,0.40931195,0.24683435,0.21437146,0.11509790,0.06864893,0.04953772,0.03010629,0.01959101,0.01625113,0.00570785,0.00283488,0.00773683,0.01293447,0.01282718,0.02123880,-0.00263846,-0.00989811,-0.01665037,-0.02215332,-0.01262406,-0.00717081,-0.00239705,0.00103092,-0.00478012,-0.01054832,-0.02063916,-0.02378906,-0.01337922,-0.02176559,-0.02386372,-0.02027626,-0.03377407
1,0.82784915,1.00000083,0.79693955,0.62154323,0.43541265,0.26309454,0.22155905,0.13027729,0.07554123,0.04502337,0.03914358,0.01744202,0.02770651,0.01548459,0.01148683,0.00476069,0.01425020,-0.00362004,0.00100563,-0.01744641,-0.02369366,-0.01881420,-0.02483300,-0.02569174,-0.01788430,-0.01785038,-0.01076229,-0.01255006,-0.02532286,-0.02869025,-0.02723492,-0.01956815,-0.02020033,-0.02592444,-0.01837737,-0.00250832
2,0.67295480,0.79693955,1.00000083,0.73569810,0.49663022,0.29451880,0.25356466,0.14396155,0.08696894,0.06179820,0.03656627,0.01473838,0.02921412,0.02053897,-0.00346152,-0.00259905,0.00260722,-0.01791717,-0.00110774,-0.01715626,-0.01033246,-0.01498842,-0.01127174,-0.02153091,-0.00305532,-0.01376619,-0.00888531,-0.01462333,-0.02613473,-0.03117475,-0.03054416,-0.02286190,-0.02136951,-0.02593929,-0.02767150,0.00657991
3,0.54726291,0.62154323,0.73569810,1.00000095,0.63946456,0.40319297,0.32528797,0.16517207,0.08489741,0.04452064,0.05066271,0.04333205,0.04158341,0.03448864,-0.00083328,-0.00746012,0.00499126,-0.01132715,0.01125138,-0.00681234,0.00483521,0.00114686,-0.00405244,-0.01201941,-0.00282270,-0.00272462,0.00240861,0.01021379,-0.00667417,-0.01090601,-0.01189537,-0.00596612,-0.01383460,-0.01737701,-0.00812111,0.01240007
4,0.40931195,0.43541265,0.49663022,0.63946456,1.00000072,0.60798061,0.49573258,0.26991692,0.13036075,0.08665410,0.09214253,0.08077291,0.07858703,0.06421082,0.04032083,0.06219930,0.03818210,0.03197272,0.07020343,0.03953864,0.03547700,0.01529744,0.02218994,0.01390993,-0.00138302,0.00236047,0.00778827,0.01550778,0.01053961,-0.00250357,-0.00425305,0.00117549,-0.00849942,-0.00364288,0.00758035,-0.02955495
5,0.24683435,0.26309454,0.29451880,0.40319297,0.60798061,1.00000107,0.81520146,0.51898068,0.27365288,0.19243836,0.12492097,0.11460365,0.11268159,0.09370517,0.04098080,0.03773152,0.02280266,0.01560041,0.04820121,0.02611858,0.01471333,0.00521015,-0.00203141,-0.01587241,-0.02143950,-0.01988556,-0.01171089,-0.00337234,0.00741681,0.01243761,0.00607396,0.00871389,0.00171546,0.00305032,0.00390940,-0.01274612
6,0.21437146,0.22155905,0.25356466,0.32528797,0.49573258,0.81520146,1.00000072,0.63713914,0.34326744,0.24240395,0.15996473,0.13730970,0.12625784,0.09421413,0.04261506,0.03953979,0.00895251,0.01857888,0.04636363,0.01650943,0.01961050,0.01002217,-0.00340998,-0.02115099,-0.02131239,-0.02195948,-0.01538644,-0.00490475,-0.00006726,0.00556700,0.00115824,0.00130493,-0.00270427,-0.00745537,-0.00330801,-0.00581379
7,0.11509790,0.13027729,0.14396155,0.16517207,0.26991692,0.51898068,0.63713914,1.00000072,0.56278288,0.36380664,0.19322520,0.19948162,0.14511493,0.11410764,0.07255280,0.04493558,0.02183316,0.02034669,0.02069149,0.00472426,0.00443489,0.01177788,0.00818221,-0.00471951,-0.00394116,-0.00757191,-0.00584596,0.00276957,0.01304694,0.00684229,0.00423416,0.00427084,-0.00001681,-0.00081132,-0.00988706,0.01002341
8,0.06864893,0.07554123,0.08696894,0.08489741,0.13036075,0.27365288,0.34326744,0.56278288,1.00000095,0.58310676,0.34974712,0.27672809,0.20374784,0.12871514,0.06681459,0.04252234,0.01276541,0.02331583,0.00124359,-0.00203928,-0.00070543,-0.00080380,0.00099622,-0.00343624,0.01196423,-0.00160227,0.00158681,0.00987132,0.01957319,0.01334753,0.01177530,0.01680285,0.01114240,0.01633742,0.00486663,0.05182251
9,0.04953772,0.04502337,0.06179820,0.04452064,0.08665410,0.19243836,0.24240395,0.36380664,0.58310676,1.00000060,0.56472462,0.42241237,0.32242373,0.20413917,0.12100100,0.08559570,0.04294720,0.03720389,0.00989698,0.00262071,-0.01106485,-0.00979810,-0.00504648,-0.00521016,0.00524420,-0.00291995,-0.00111913,-0.00043817,0.01125224,0.00838159,0.00880752,0.01549062,0.01140240,0.01508246,-0.00260751,0.02138803
10,0.03010629,0.03914358,0.03656627,0.05066271,0.09214253,0.12492097,0.15996473,0.19322520,0.34974712,0.56472462,1.00000060,0.70040447,0.47852722,0.30292553,0.18053930,0.12730969,0.08327606,0.06622248,0.02823162,0.02381615,0.00433789,0.00548479,0.01156607,0.00841024,0.00446021,-0.00617863,-0.00296472,0.00834446,0.01528520,0.01416947,0.01697619,0.01831909,0.00569679,0.00929877,-0.00451444,0.02690314
11,0.01959101,0.01744202,0.01473838,0.04333205,0.08077291,0.11460365,0.13730970,0.19948162,0.27672809,0.42241237,0.70040447,1.00000060,0.65977192,0.41992837,0.26318908,0.19848090,0.15051810,0.13290246,0.08677208,0.06662411,0.04474508,0.03711955,0.04719036,0.03487002,0.01491181,0.01035421,0.00963227,0.01610458,0.02270177,0.01896477,0.01491997,0.01481701,0.00568096,-0.00079057,-0.01962507,-0.00463593
12,0.01625113,0.02770651,0.02921412,0.04158341,0.07858703,0.11268159,0.12625784,0.14511493,0.20374784,0.32242373,0.47852722,0.65977192,1.00000095,0.63592100,0.36064619,0.28122953,0.23736243,0.18578613,0.12083673,0.11764710,0.07903941,0.08071865,0.07342081,0.05075476,0.03778922,0.02733407,0.02483908,0.02459311,0.03644438,0.02726875,0.02482230,0.02707955,0.02004332,0.00874044,-0.00473150,0.02882201
13,0.00570785,0.01548459,0.02053897,0.03448864,0.06421082,0.09370517,0.09421413,0.11410764,0.12871514,0.20413917,0.30292553,0.41992837,0.63592100,1.00000107,0.47433385,0.34894079,0.28207839,0.22178397,0.15020797,0.11340169,0.06365187,0.05978513,0.04689207,0.01364108,0.00105799,0.00279869,0.01011633,0.01507458,0.00964680,0.00029932,0.00034185,0.00200537,0.00337050,-0.00306724,-0.00331641,0.02025913
